date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:02	25348/25348	---M-Z	200	added ('OK')	text/css	etag:%226684b603-103b%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:03	5402/5402	---M-Z	200	added ('OK')	text/css	etag:%226684b611-407%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Unbxd_SearchJs/css/autosuggest.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Unbxd_SearchJs/css/autosuggest.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:03	108178/108178	---M-Z	200	added ('OK')	text/css	etag:%226684b616-4cc4%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-l.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-l.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:03	1191/1191	---M-Z	200	added ('OK')	text/css	etag:%226684b613-23a%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/print.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/print.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:03	326654/326654	---M-Z	200	added ('OK')	text/css	etag:%226684b61f-ac6f%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/app.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/app.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:03	26444/26444	---M-Z	200	added ('OK')	application/javascript	etag:%226684b604-1f45%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs/require.min.js	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs/require.min.js	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:04	34/34	---M-Z	200	added ('OK')	application/javascript	etag:W/%226684b60d-22%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_QuickCheckout/js/disabled.min.js	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_QuickCheckout/js/disabled.min.js	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:04	523/523	---M-Z	200	added ('OK')	application/javascript	etag:%226684b626-14f%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs-min-resolver.min.js	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs-min-resolver.min.js	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:04	2511/2511	---M-Z	200	added ('OK')	application/javascript	etag:%226684b603-38b%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/requirejs/mixins.min.js	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/requirejs/mixins.min.js	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:04	38390/38390	---M-Z	200	added ('OK')	application/javascript	etag:%226684b626-1bac%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs-config.min.js	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/requirejs-config.min.js	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:05	2721/2721	---M--	200	added ('OK')	image/png	etag:%22fcbgCTOUT9nve3RQn0yaZp4RzPEtkoJ/7f0plMAbEnE%22	https://www.pedders.com.au/media/favicon/stores/1/pedders_favicon.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/favicon/stores/1/pedders_favicon.png	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:05	150/150	---M--	200	added ('OK')	image/png	etag:%22kbI3nQmy4VJ7JJnMfbCn7YBRCWP7IQK+CmQWdobiCuU%22	https://www.pedders.com.au/media/wysiwyg/icons/icon-mobile.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/wysiwyg/icons/icon-mobile.png	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:05	15565/15565	---M--	200	added ('OK')	image/png	etag:%22ZCt1y++01uMp8jtfiYSdPrsZc4Mnruz8C1vm729IUnA%22	https://www.pedders.com.au/media/wysiwyg/Check-part-img_1.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/wysiwyg/Check-part-img_1.png	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:05	10305/10305	---M--	200	added ('OK')	image/jpeg	etag:%222HB5263rOCXVzFr+uQilm5YXejm48wbIuUbYANI6WZc%22	https://www.pedders.com.au/media/catalog/product/5/4/540017.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=543&width=543&canvas=543:543	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/catalog/product/5/4/540017700a.jpg	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:05	11304/11304	---M--	200	added ('OK')	image/png	etag:%22ux1JCX7khO4+a6Y/gxCbae4jNrwkb4SLOoWweWDMxCw%22	https://www.pedders.com.au/media/wysiwyg/pedders-footer-image.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/wysiwyg/pedders-footer-image.png	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:06	5212/5212	---M--	200	added ('OK')	image/jpeg	etag:%222awK83PWxiEqsU01hub64GXmi9OMfTLjsiKj6ML42sI%22	https://www.pedders.com.au/media/wysiwyg/ISO-9001-CMYK-279x300-_2_.jpg	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/wysiwyg/ISO-9001-CMYK-279x300-_2_.jpg	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:06	3820/3820	---M--	200	added ('OK')	image/jpeg	etag:%22mwOcnxBAzZyMdvFzRsap4i+OK22ENZjfczZEwho8LUQ%22	https://www.pedders.com.au/media/wysiwyg/ISO-9001-CMYK-279x300-_2_-mob-2.jpg	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/media/wysiwyg/ISO-9001-CMYK-279x300-_2_-mob-2.jpg	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:06	289/289	---M--	403	error ('ok')	text/html	date:Fri,%2012%20Jul%202024%2000:13:06%20GMT	https://www.pedders.com.au/product/smv_668f7bdd31887_registration_form_content	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/product/smv_668f7bdd31887_registration_form_content	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:06	289/289	---M--	403	error ('ok')	text/html	date:Fri,%2012%20Jul%202024%2000:13:07%20GMT	https://www.pedders.com.au/product/smv_668f7bdd31887_make_model_form_content	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/product/smv_668f7bdd31887_make_model_form_content	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:07	2035/2035	---M--	200	added ('OK')	image/gif	etag:%22TSCGOxM5a8i4GONn7795uSGBIicwQQDneQMdP5Tz7kg%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/loader-2.gif	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/loader-2.gif	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css)
10:13:07	295/295	---M--	200	added ('OK')	image/png	etag:%22a3f+YFv5wmKjdl3ThxvtdIMKo0fzuPvCdF1yCTfVJwE%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_Company/images/icon-tree.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_Company/images/icon-tree.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css)
10:13:08	1606/1606	---M--	200	added ('OK')	image/png	etag:%22s07+dNimucB561MD8OizZiRUN0wKbhY+Z0zCHa3v2Hk%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_QuickCheckout/images/logo-bolt.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_QuickCheckout/images/logo-bolt.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css)
10:13:08	684/684	---M--	200	added ('OK')	image/gif	etag:%223VOEky3pQ76ah+cGORY4I35TXlk0Byn2lzqgCmKE9n8%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Blog/images/ajax-loader.gif	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Blog/images/ajax-loader.gif	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css)
10:13:08	4641/4641	---M--	200	added ('OK')	image/png	etag:%22OgS22SoVexjEP3CCLn2MpCuboe8wyny0DC39WB0aC7o%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_ProductVideo/img/gallery-sprite.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Magento_ProductVideo/img/gallery-sprite.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css)
10:13:09	538/538	---M--	200	added ('OK')	image/png	etag:%22ovx2IbS6GNnzPQtYN5Hznnfe+dHHH5kBCYyha0NPdMw%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen-sprite.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen-sprite.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen.min.css)
10:13:09	738/738	---M--	200	added ('OK')	image/png	etag:%2211Zi0Vq0oTIc0416GkAlKId1ueIRGkfG1950t6z9duo%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen-sprite@2x.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen-sprite@2x.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen.min.css)
10:13:09	4996/4996	---M--	200	added ('OK')	image/png	etag:%22gqIPnNMY2TP//kC2VaRoF+KwLLZbRsmdo5Lba20o0ao%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.min.css)
10:13:09	17255/17255	---M--	200	added ('OK')	image/gif	etag:%22N6zxlrtirAGUqNDldFxA07txNPYHtIHuF7HedFZf6BY%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/loader-1.gif	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/loader-1.gif	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/gallery/gallery.min.css)
10:13:10	2343/2343	---M--	200	added ('OK')	image/png	etag:%22WIfELNU4WDmzmYiePLaAjHdhF9H++NzjLUmDrgps/14%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/product-image-scaled.png	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/images/product-image-scaled.png	(from https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/app.min.css)
